term;description;casesensitive;translatable;forbidden;tags;en-US;en-US_description;fr_FR;fr_FR_description
Document Templates;;no;yes;no;;Document Templates;;Modèles de document;
Document generation;;no;yes;no;;Document generation;;Génération de document;
Document name;;no;yes;no;;Document name;;Nom du document;
Document preview;;no;yes;no;;Document preview;;Aperçu du document;
Document review;;no;yes;no;;Document review;;Revue du document;
Document settings;;no;yes;no;;Document settings;;Paramètres des documents;
Document status;;no;yes;no;;Document status;;Statut du document;
Document template;;no;yes;no;;Document template;;Modèle de document;
Done;;no;yes;no;;Done;;Terminé;
Download;;no;yes;no;;Download;;Télécharger;
Download CSV;;no;yes;no;;Download CSV;;Télécharger CSV;
Download log file;;no;yes;no;;Download log file;;Télécharger le journal;
Download template;;no;yes;no;;Download template;;Télécharger le modèle;
Download the template;;no;yes;no;;Download the template;;Téléchargez le modèle;
Draft;;no;yes;no;;Draft;;Ebauche;
Drop-down list;;no;yes;no;;Drop-down list;;Liste déroulante;
Due date;;no;yes;no;;Due date;;Date d'échéance;
Duplicate;;no;yes;no;;Duplicate;;Dupliquer;
Duplication successful;;no;yes;no;;Duplication successful;;Duplication réussie;
Edit;;no;yes;no;;Edit;;Modifier;
Edit goal;;no;yes;no;;Edit goal;;Modifier l'objectif;
Edit model;;no;yes;no;;Edit model;;Modifier le modèle;
Edit note;;no;yes;no;;Edit note;;Modifier la note;
Edited;;no;yes;no;;Edited;;Modifié;
Editor;;no;yes;no;;Editor;;Editeur;
Education;;no;yes;no;;Education;;Formation;
Effective date;;no;yes;no;;Effective date;;Date d'entrée en vigueur;
Eligibility;;no;yes;no;;Eligibility;;Eligibilité;
Eligible workers;;no;yes;no;;Eligible workers;;Employé(e)s éligibles;
Else;;no;yes;no;;Else;;Sinon;
Email Notifications;;no;yes;no;;Email Notifications;;Notifications par email;
Email address;;no;yes;no;;Email address;;Adresse email;
Email notification;;no;yes;no;;Email notification;;Notification par e-mail;
Email notifications;;no;yes;no;;Email notifications;;Notifications par email;
Email subject;;no;yes;no;;Email subject;;Sujet de l'email;
Employment;;no;yes;no;;Employment;;Emploi;
Empty;;no;yes;no;;Empty;;Vide;
Enable;;no;yes;no;;Enable;;Activer;
Enable Feedback;;no;yes;no;;Enable Feedback;;Activer le feedback;
Enabled;;no;yes;no;;Enabled;;Actif;
End date;;no;yes;no;;End date;;Date de fin;
Endorsed;;no;yes;no;;Endorsed;;Approuvé;
Enter;;no;yes;no;;Enter;;Entrer;
Enter a name;;no;yes;no;;Enter a name;;Saisir un nom;
Enter text;;no;yes;no;;Enter text;;Saisir le texte;
Entities;;no;yes;no;;Entities;;Entités;
Entities & fields;;no;yes;no;;Entities & fields;;Entités & champs;
Entity;;no;yes;no;;Entity;;Entité;
Entity details;;no;yes;no;;Entity details;;Détails de l'entité;
Entity enum;;no;yes;no;;Entity enum;;Entité énum;
Entity name;;no;yes;no;;Entity name;;Nom de l'entité;
Enum;;no;yes;no;;Enum;;Énumération;
Equal to;;no;yes;no;;Equal to;;Egal à;
Equity;;no;yes;no;;Equity;;Actions;
Error;;no;yes;no;;Error;;Erreur;
Errors;;no;yes;no;;Errors;;Erreurs;
Evaluation section;;no;yes;no;;Evaluation section;;Section d'évaluation;
Examples;;no;yes;no;;Examples;;Exemples;
Exchange Rates;;no;yes;no;;Exchange Rates;;Taux de change;
Exchange rate;;no;yes;no;;Exchange rate;;Taux de change;
Exchange rate type;;no;yes;no;;Exchange rate type;;Type de taux de change;
Exchange rates;;no;yes;no;;Exchange rates;;Taux de change;
Exclude;;no;yes;no;;Exclude;;Exclure;
Exclude individuals;;no;yes;no;;Exclude individuals;;Exclure des personnes;
Excluded;;no;yes;no;;Excluded;;Exclus;
Exit;;no;yes;no;;Exit;;Quitter;
Exit without saving;;no;yes;no;;Exit without saving;;Quitter sans enregistrer;
Expand;;no;yes;no;;Expand;;Développer;
Experience;;no;yes;no;;Experience;;Expérience;
Export;;no;yes;no;;Export;;Exportation;
Expression formula;;no;yes;no;;Expression formula;;Formule d'expression;
External;;no;yes;no;;External;;Externe;
Failed;;no;yes;no;;Failed;;Echec;
Favorite;;no;yes;no;;Favorite;;Ajouter aux favoris;
Favorite feedback;;no;yes;no;;Favorite feedback;;Feedback;
Favorites;;no;yes;no;;Favorites;;Favoris;
Feature;;no;yes;no;;Feature;;Fonctionnalité;
Feature Enablement;;no;yes;no;;Feature Enablement;;Activation de fonctions;
Feature enablement;;no;yes;no;;Feature enablement;;Activation de la fonction;
Features;;no;yes;no;;Features;;Fonctionnalités;
